case_name,random_seed,Nc,Ns,Nt,slot_len,visit_prob,psi,phi,tau_b,running_time_sec,feasible,expected_feasible,graph_build_time_sec,max_flow_time_sec,coverage_ratio
Nc25_Ns100_Nt48_Slot600.0,0,25,100,48,600.0,0.3,1.0,1.0,50.0,14.810077700996771,False,,0.36513752001337707,14.441797692794353,0.16827825069363891
Nc50_Ns100_Nt48_Slot600.0,0,50,100,48,600.0,0.3,1.0,1.0,50.0,27.413056465098634,False,,2.946897987043485,24.45866665779613,0.08330784271080524
Nc75_Ns100_Nt48_Slot600.0,0,75,100,48,600.0,0.3,1.0,1.0,50.0,23.042548649944365,False,,2.4275815528817475,20.607985460897908,0.06611514835672312
Nc100_Ns100_Nt48_Slot600.0,0,100,100,48,600.0,0.3,1.0,1.0,50.0,24.92192923394032,False,,2.282042558072135,22.63331108400598,0.044088883181172
Nc125_Ns100_Nt48_Slot600.0,0,125,100,48,600.0,0.3,1.0,1.0,50.0,24.211761895101517,False,,2.7729131078813225,21.431407915893942,0.03298809018242292
Nc25_Ns100_Nt48_Slot600.0,1,25,100,48,600.0,0.3,1.0,1.0,50.0,24.77220431319438,False,,0.4916886859573424,24.27711181808263,0.1800129244672964
Nc50_Ns100_Nt48_Slot600.0,1,50,100,48,600.0,0.3,1.0,1.0,50.0,17.056561599019915,False,,0.6525817618239671,16.400113594951108,0.09768758703100108
Nc75_Ns100_Nt48_Slot600.0,1,75,100,48,600.0,0.3,1.0,1.0,50.0,22.266108981100842,False,,1.782382416073233,20.47792366798967,0.06134855830280277
Nc100_Ns100_Nt48_Slot600.0,1,100,100,48,600.0,0.3,1.0,1.0,50.0,25.191124067874625,False,,2.7693084189668298,22.41428819904104,0.0416887505057473
Nc125_Ns100_Nt48_Slot600.0,1,125,100,48,600.0,0.3,1.0,1.0,50.0,32.112189759965986,False,,4.949592484161258,27.15097841899842,0.0317724943864587
Nc25_Ns100_Nt48_Slot600.0,2,25,100,48,600.0,0.3,1.0,1.0,50.0,16.277765182079747,False,,0.48558360803872347,15.788726386148483,0.14233070271776627
Nc50_Ns100_Nt48_Slot600.0,2,50,100,48,600.0,0.3,1.0,1.0,50.0,19.341783045092598,False,,1.0244173449464142,18.31257083406672,0.09999202335730921
Nc75_Ns100_Nt48_Slot600.0,2,75,100,48,600.0,0.3,1.0,1.0,50.0,21.563840799033642,False,,1.5262414140161127,20.031901808921248,0.07032042022855893
Nc100_Ns100_Nt48_Slot600.0,2,100,100,48,600.0,0.3,1.0,1.0,50.0,32.876633272040635,False,,5.269925225060433,27.57667187601328,0.045030693257876085
Nc125_Ns100_Nt48_Slot600.0,2,125,100,48,600.0,0.3,1.0,1.0,50.0,31.931901313131675,False,,4.874276246177033,27.04623035597615,0.03687953135753992
