label,horizon_sec,slots,num_jobs,num_nodes,num_edges,total_demand,max_flow_value,coverage_ratio,flow_algorithm,graph_build_sec,maxflow_sec,total_runtime_sec
label,horizon_sec,slots,num_jobs,num_nodes,num_edges,total_demand,max_flow_value,coverage_ratio,flow_algorithm,graph_build_sec,maxflow_sec,total_runtime_sec
10min,600,10,166,2983,4497,985.1484132452641,545.8812712880837,0.5541106943367529,edmonds_karp,0.010772582999999836,0.07359041699999991,0.08485337500000001
10min,600,10,166,2983,4497,985.1484132452641,545.8812712880837,0.5541106943367529,ford_fulkerson,0.005124249999999941,0.013400209000000052,0.018706915999999962
10min,600,10,166,2983,4497,985.1484132452641,545.8812712880831,0.5541106943367523,preflow_push,0.006384125000000074,0.057344916999999995,0.0638862910000002
1h,3600,60,1008,17920,27828,5944.124036183131,3390.306331758569,0.5703626490835424,edmonds_karp,0.06001912500000017,2.2589714159999996,2.3195707919999995
1h,3600,60,1008,17920,27828,5944.124036183131,3390.3063317586452,0.5703626490835553,ford_fulkerson,0.04409574999999988,0.4414143749999999,0.4860496670000001
1h,3600,60,1008,17920,27828,5944.124036183131,3390.3063317586034,0.5703626490835483,preflow_push,0.046525583000000204,0.4085958749999996,0.4556610000000001
6h,21600,360,6059,107527,165840,35729.987767919105,19090.17132592954,0.534289892566659,edmonds_karp,0.5256950419999997,98.219279417,98.74799141700001
6h,21600,360,6059,107527,165840,35729.987767919105,19090.171325927055,0.5342898925665894,ford_fulkerson,0.6005693749999921,18.323800708000007,18.928433541999993
6h,21600,360,6059,107527,165840,35729.987767919105,19090.171325930056,0.5342898925666735,preflow_push,0.7588850829999956,3.935433708000005,4.6974438749999905
12h,43200,720,12122,215059,334149,71468.19884001324,22892.563024805208,0.32031817502567644,edmonds_karp,1.264982541000009,291.907732042,293.18151145800005
12h,43200,720,12122,215059,334149,71468.19884001324,22892.56302480196,0.320318175025631,ford_fulkerson,2.1327565000000277,28.46890862500004,30.608655666999994
12h,43200,720,12122,215059,334149,71468.19884001324,22892.563024806634,0.3203181750256964,preflow_push,1.691472707999992,8.268342166999957,9.96640508300004
24h,86400,1440,24248,430122,687585,142956.34998472282,51516.15012423249,0.3603627969638132,edmonds_karp,5.204015459,1505.307434625,1510.526743292
24h,86400,1440,24248,430122,687585,142956.34998472282,51516.15012423941,0.3603627969638616,ford_fulkerson,5.9262395829998695,449.18063412499987,455.123424375
24h,86400,1440,24248,430122,687585,142956.34998472282,51516.15012423823,0.3603627969638533,preflow_push,5.653161416000103,19.269674416999806,24.935952957999916
